Type,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 76,D/t,Compression,Flexure,unit_price
HSS,HSS193.7X8.3,38.1,4520,–,–,–,–,194.0,–,–,–,–,–,–,–,–,–,–,–,8.33,7.75,–,–,–,–,–,–,–,–,–,–,–,–,–,19.6,269.0,202.0,65.8,19.6,269.0,202.0,65.8,–,–,–,39200,–,405.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,25.0,NS,C,2950
HSS,HSS190.5X12.7,55.7,6650,–,–,–,–,191.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,26.6,377.0,279.0,63.2,26.6,377.0,279.0,63.2,–,–,–,53300,–,559.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,16.1,NS,C,2950
HSS,HSS190.5X9.5,42.5,5060,–,–,–,–,191.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,20.9,293.0,220.0,64.3,20.9,293.0,220.0,64.3,–,–,–,41600,–,439.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,21.5,NS,C,2950
HSS,HSS190.5X7.9,35.7,4250,–,–,–,–,191.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,17.9,247.0,187.0,64.8,17.9,247.0,187.0,64.8,–,–,–,35700,–,375.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,25.8,NS,C,2950
HSS,HSS190.5X6.4,28.8,3430,–,–,–,–,191.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,14.7,202.0,154.0,65.3,14.7,202.0,154.0,65.3,–,–,–,29300,–,306.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,32.2,NS,C,2950
HSS,HSS190.5X4.8,21.9,2580,–,–,–,–,191.0,–,–,–,–,–,–,–,–,–,–,–,4.78,4.42,–,–,–,–,–,–,–,–,–,–,–,–,–,11.2,153.0,117.0,65.8,11.2,153.0,117.0,65.8,–,–,–,22400,–,234.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,43.1,NS,NC,2950
HSS,HSS177.8X12.7,51.7,6160,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,–,–,21.3,326.0,239.0,58.9,21.3,326.0,239.0,58.9,–,–,–,42500,–,480.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,15.1,NS,C,2950
HSS,HSS177.8X9.5,39.5,4700,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,–,–,16.8,254.0,190.0,59.7,16.8,254.0,190.0,59.7,–,–,–,33700,–,379.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,20.1,NS,C,2950
HSS,HSS177.8X7.9,33.2,3950,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,–,–,14.4,215.0,162.0,60.2,14.4,215.0,162.0,60.2,–,–,–,28800,–,324.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,24.1,NS,C,2950
HSS,HSS177.8X6.4,26.8,3190,–,–,–,–,178.0,–,–,–,–,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,–,–,11.8,175.0,133.0,60.7,11.8,175.0,133.0,60.7,–,–,–,23600,–,265.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,30.0,NS,C,2950
