Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB,Unnamed: 77,b/t,h/t,Flange Compression,Web Compression,Flange Flexure,Web Flexure,unit_price
W,W36X262,W920X390,390.0,49800,937,937,–,–,–,422,419,–,–,–,21.3,20.6,11.1,36.6,36.5,–,–,–,60.7,69.9,41.3,–,–,–,–,–,5.75,–,38.2,–,–,7450.0,18000.0,15900.0,389.0,454.0,3340.0,2160.0,95.5,–,–,–,17300.0,91800.0,–,94800,363.0,–,–,3280.0,8900.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,113.0,902,3050,3480,,5.75,38.2,NS,S,C,C,2950
W,W36X247,W920X368,368.0,46800,932,930,–,–,–,419,419,–,–,–,20.3,20.6,11.1,34.3,34.9,–,–,–,58.4,66.7,41.3,–,–,–,–,–,6.11,–,40.1,–,–,6950.0,16900.0,15000.0,386.0,420.0,3110.0,2020.0,95.0,–,–,–,14400.0,84900.0,–,94200,338.0,–,–,3060.0,8340.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112.0,899,3050,3450,,6.11,40.1,NS,S,C,C,2950
W,W36X231,W920X344,344.0,44000,927,927,–,–,–,419,419,–,–,–,19.3,19.0,9.52,32.0,31.8,–,–,–,56.1,65.1,39.7,–,–,–,–,–,6.54,–,42.2,–,–,6490.0,15800.0,14000.0,384.0,391.0,2880.0,1870.0,94.2,–,–,–,11900.0,78400.0,–,93500,315.0,–,–,2870.0,7800.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,112.0,894,3050,3450,,6.54,42.2,NS,S,C,C,2950
W,W36X256,W920X381,381.0,48600,951,949,–,–,–,310,311,–,–,–,24.4,23.8,12.7,43.9,44.4,–,–,–,63.0,66.7,33.3,–,–,–,–,–,3.53,–,33.8,–,–,6990.0,17000.0,14700.0,378.0,220.0,2250.0,1420.0,67.3,–,–,–,22000.0,45100.0,–,70300,240.0,–,–,2850.0,8460.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,82.3,907,2740,3050,,3.53,33.8,NS,NS,C,C,2950
W,W36X232,W920X345,345.0,43900,943,943,–,–,–,307,308,–,–,–,22.1,22.2,11.1,39.9,39.7,–,–,–,58.9,61.9,31.8,–,–,–,–,–,3.86,–,37.3,–,–,6240.0,15300.0,13300.0,376.0,195.0,2000.0,1270.0,66.5,–,–,–,16500.0,39700.0,–,69700,213.0,–,–,2570.0,7600.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,81.5,902,2740,3050,,3.86,37.3,NS,S,C,C,2950
W,W36X210,W920X313,313.0,39900,932,933,–,–,–,310,308,–,–,–,21.1,20.6,11.1,34.5,34.9,–,–,–,53.6,58.7,31.8,–,–,–,–,–,4.48,–,39.1,–,–,5490.0,13700.0,11800.0,371.0,171.0,1750.0,1110.0,65.5,–,–,–,11700.0,34400.0,–,69700,186.0,–,–,2230.0,6750.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.8,897,2720,3020,,4.48,39.1,NS,S,C,C,2950
W,W36X194,W920X289,289.0,36800,927,927,–,–,–,307,308,–,–,–,19.4,19.0,9.52,32.0,31.8,–,–,–,51.1,55.6,30.2,–,–,–,–,–,4.81,–,42.4,–,–,5040.0,12600.0,10900.0,371.0,156.0,1600.0,1010.0,65.0,–,–,–,9240.0,31200.0,–,69000,169.0,–,–,2060.0,6210.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,80.0,894,2720,3020,,4.81,42.4,NS,S,C,C,2950
W,W36X182,W920X271,271.0,34600,922,924,–,–,–,307,308,–,–,–,18.4,19.0,9.52,30.0,30.2,–,–,–,49.0,54.0,30.2,–,–,–,–,–,5.12,–,44.8,–,–,4700.0,11800.0,10200.0,368.0,144.0,1490.0,944.0,64.8,–,–,–,7700.0,28700.0,–,68400,157.0,–,–,1930.0,5820.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.5,892,2690,3000,,5.12,44.8,NS,S,C,C,2950
W,W36X170,W920X253,253.0,32300,919,918,–,–,–,305,305,–,–,–,17.3,17.5,9.52,27.9,28.6,–,–,–,47.0,50.8,30.2,–,–,–,–,–,5.47,–,47.7,–,–,4370.0,10900.0,9520.0,368.0,133.0,1370.0,872.0,64.3,–,–,–,6290.0,26500.0,–,67700,145.0,–,–,1790.0,5410.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.0,892,2690,3000,,5.47,47.7,NS,S,C,C,2950
W,W36X160,W920X238,238.0,30300,914,914,–,–,–,305,305,–,–,–,16.5,15.9,7.94,25.9,25.4,–,–,–,45.0,49.2,28.6,–,–,–,–,–,5.88,–,49.9,–,–,4060.0,10200.0,8880.0,366.0,123.0,1270.0,805.0,63.5,–,–,–,5160.0,24200.0,–,67700,134.0,–,–,1660.0,5050.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,78.5,889,2670,2970,,5.88,49.9,NS,S,C,C,2950
