Type,AISC_Manual_Label [Imperial],AISC_Manual_Label [metric],W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(?),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,h/tw.1,D/t.1,Ix / 107,Zx / 104,Sx / 104,rx.1,Iy / 107,Zy / 104,Sy / 104,b/tdes,h/tdes.1,Compression,Flange Flexure,Web Flexure,unit_price
HSS,HSS9X9X5/8,HSS228.6X228.6X15.9,101.0,12100,–,–,229.0,184.0,–,–,–,229.0,184.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,12.5,–,89.9,952.0,785.0,86.4,89.9,952.0,785.0,86.4,–,–,–,148000,–,1340.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,459.3,455.0809524,450.85476189999997,446.6,442.40238099999993,438.1761905,433.95,12.5,13.5,NS,C,C,2950
HSS,HSS9X9X1/2,HSS228.6X228.6X12.7,82.6,9870,–,–,229.0,193.0,–,–,–,229.0,193.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,16.3,–,76.2,793.0,665.0,87.6,76.2,793.0,665.0,87.6,–,–,–,123000,–,1100.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,395.4,393.1666667,390.9333333,388.7,386.46666669999996,384.2333333,382.0,16.3,17.3,NS,C,C,2950
HSS,HSS9X9X3/8,HSS228.6X228.6X9.5,63.6,7610,–,–,229.0,202.0,–,–,–,229.0,202.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,22.8,–,60.4,619.0,528.0,89.2,60.4,619.0,528.0,89.2,–,–,–,96100,–,854.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,323.7,323.547619,323.4380952,323.3,323.2190476,323.1095238,323.0,22.8,23.8,NS,C,C,2950
HSS,HSS9X9X5/16,HSS228.6X228.6X7.9,53.6,6400,–,–,229.0,207.0,–,–,–,229.0,207.0,–,–,–,–,–,–,–,7.94,7.39,–,–,–,–,–,–,–,–,–,–,–,27.9,–,51.6,526.0,452.0,89.9,51.6,526.0,452.0,89.9,–,–,–,81600,–,721.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,284.3,285.2309524,286.2047619,287.2,288.152381,289.1261905,290.1,27.9,28.9,NS,NC,C,2950
HSS,HSS9X9X1/4,HSS228.6X228.6X6.4,43.4,5180,–,–,229.0,211.0,–,–,–,229.0,211.0,–,–,–,–,–,–,–,6.35,5.92,–,–,–,–,–,–,–,–,–,–,–,35.6,–,42.5,429.0,372.0,90.4,42.5,429.0,372.0,90.4,–,–,–,66200,–,587.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,242.8,244.82857140000002,246.8928571,249.0,251.02142859999998,253.0857143,255.15,35.6,36.6,S,S,C,2950
HSS,HSS9X9X3/16,HSS228.6X228.6X74.8,33.0,3910,–,–,229.0,215.0,–,–,–,229.0,215.0,–,–,–,–,–,–,–,4.76,4.42,–,–,–,–,–,–,–,–,–,–,–,48.7,–,32.5,328.0,285.0,91.2,32.5,328.0,285.0,91.2,–,–,–,50400,–,444.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,198.4,201.6047619,204.7738095,207.9,211.1119048,214.28095240000002,217.45,48.7,49.7,S,S,C,2950
HSS,HSS9X9X1/8,HSS228.6X228.6X3.2,22.3,2640,–,–,229.0,220.0,–,–,–,229.0,220.0,–,–,–,–,–,–,–,3.18,2.95,–,–,–,–,–,–,–,–,–,–,–,74.6,–,22.3,223.0,195.0,91.9,22.3,223.0,195.0,91.9,–,–,–,34100,–,300.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,152.4,156.7261905,161.0309524,165.3,169.6404762,173.9452381,178.25,74.6,75.6,S,S,NC,2950
HSS,HSS8X8X5/8,HSS203.2X203.2X15.9,88.0,10600,–,–,203.0,159.0,–,–,–,203.0,159.0,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,–,10.8,–,60.8,733.0,598.0,75.9,60.8,733.0,598.0,75.9,–,–,–,102000,–,1040.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,357.3,355.17857139999995,353.04285710000005,350.9,348.77142860000004,346.6357143,344.5,10.8,11.8,NS,C,C,2950
HSS,HSS8X8X1/2,HSS203.2X203.2X12.7,72.5,8710,–,–,203.0,168.0,–,–,–,203.0,168.0,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,–,14.2,–,52.0,615.0,511.0,77.2,52.0,615.0,511.0,77.2,–,–,–,84900,–,859.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,310.8,310.0809524,309.4047619,308.7,308.1,307.3761905,306.7,14.2,15.2,NS,C,C,2950
HSS,HSS8X8X3/8,HSS203.2X203.2X9.5,56.0,6710,–,–,203.0,177.0,–,–,–,203.0,177.0,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,–,19.9,–,41.6,482.0,408.0,78.7,41.6,482.0,408.0,78.7,–,–,–,66600,–,667.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,256.6,257.4595238,258.347619,259.2,260.1238095,261.01190479999997,261.9,19.9,20.9,NS,C,C,2950
