Type,AISC_Manual_Label,A
HSS,HSS141.3X4.8,1900
HSS,HSS141.3X3.4,1370
HSS,HSS139.7X12.7,4750
HSS,HSS139.7X9.5,3650
HSS,HSS139.7X6.6,2560
HSS,HSS127X12.7,4270
HSS,HSS127X9.5,3290
HSS,HSS127X7.9,2770
HSS,HSS127X6.6,2320
HSS,HSS127X6.4,2250
HSS,HSS127X4.8,1700
HSS,HSS127X3.2,1150
HSS,HSS114.3X9.5,2940
HSS,HSS114.3X8.6,2660
HSS,HSS114.3X6,1910
HSS,HSS114.3X4.8,1520
HSS,HSS114.3X3.2,1030
HSS,HSS101.6X8,2190
HSS,HSS101.6X6.4,1780
HSS,HSS101.6X6,1680
HSS,HSS101.6X5.7,1610
HSS,HSS101.6X5.6,1570
HSS,HSS101.6X4.8,1350
HSS,HSS101.6X3.2,916
HSS,HSS88.9X8,1890
HSS,HSS88.9X7.6,1820
HSS,HSS88.9X6.4,1540
HSS,HSS88.9X5.5,1340
HSS,HSS88.9X5.2,1270
HSS,HSS88.9X4.8,1170
HSS,HSS88.9X3.2,794
HSS,HSS76.2X6.4,1310
HSS,HSS76.2X5.5,1140
HSS,HSS76.2X5.2,1080
HSS,HSS76.2X4.8,994
HSS,HSS76.2X3.9,819
HSS,HSS76.2X3.4,723
HSS,HSS76.2X3.2,677
HSS,HSS73X6.4,1250
HSS,HSS73X5.2,1030
HSS,HSS73X4.8,955
HSS,HSS73X3.2,652
HSS,HSS63.5X6.4,1070
HSS,HSS63.5X4.8,819
HSS,HSS63.5X3.2,561
HSS,HSS60.3X6.4,1010
HSS,HSS60.3X5.5,897
HSS,HSS60.3X4.8,774
HSS,HSS60.3X3.9,645
HSS,HSS60.3X3.2,531
HSS,HSS48.3X4.8,608
HSS,HSS48.3X3.7,483
HSS,HSS48.3X3.0,403
HSS,HSS42.2X3.6,403
W,W1100X499,63500
W,W1100X433,55100
W,W1100X390,49800
W,W1100X343,43700
W,W1000X883,112000
W,W1000X748,95500
W,W1000X642,81900
W,W1000X591,75500
W,W1000X554,71000
W,W1000X539,68400
W,W1000X483,61500
W,W1000X443,56300
W,W1000X412,52600
W,W1000X371,47400
W,W1000X321,41000
W,W1000X296,37900
W,W1000X584,74800
W,W1000X494,63000
W,W1000X486,61900
W,W1000X438,55600
W,W1000X415,53100
W,W1000X393,49900
W,W1000X350,44600
W,W1000X314,40100
W,W1000X272,34400
W,W1000X249,31800
W,W1000X222,28300
W,W920X970,124000
W,W920X787,101000
W,W920X725,92300
