member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?,orientation
BR14,P05,P06,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR15,P06,P12,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR16,P04,P11,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR17,P11,P16,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR18,P12,P15,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,0
BR19,P05,P20,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,1
BR20,P02,P04,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,2
BR21,P04,P23,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,3
BR22,P20,P12,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,4
BR23,P12,P26,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,5
BR24,P23,P16,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,6
BR25,P02,P21,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,7
BR26,P18,P20,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,8
BR27,P20,P24,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,9
BR28,P21,P23,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,10
BR29,P23,P27,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,11
BR30,P24,P26,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,12
BR31,P18,P22,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,13
BR32,P19,P21,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,14
BR33,P21,P25,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,15
BR34,P22,P24,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,16
BR35,P24,P28,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,17
BR36,P25,P27,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,18
CO01,P01,P08,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,19
CO02,P08,P09,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,20
CO03,P09,P13,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,21
CO04,P17,P07,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,22
CO05,P07,P10,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,23
CO06,P10,P14,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,24
CO07,P03,P06,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,25
CO08,P06,P11,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,26
CO09,P11,P15,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,27
CO10,P05,P04,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,28
CO11,P04,P12,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,29
CO12,P12,P16,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,30
CO13,P02,P20,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,31
CO14,P20,P23,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,32
CO15,P23,P26,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,33
CO16,P18,P21,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,34
CO17,P21,P24,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,35
CO18,P24,P27,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,36
CO19,P19,P22,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,37
CO20,P22,P25,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,38
CO21,P25,P28,W100X19.3,False,False,False,False,True,True,False,False,False,False,True,True,True,39
